      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_v2>  <n_iter_dr>
   7000000  3.599824e+02  2.054980e-05  1.447136e+01  3.250337e-01  1.078691e+01  9.51e-02  9.62e-05  8.91e-01  0.00000e+00  2.00000e+00
   7100000  3.619888e+02  2.006337e-05  1.492394e+01  3.254641e-01  1.060804e+01  9.59e-02  9.67e-05  8.91e-01  0.00000e+00  2.00000e+00
   7200000  3.639475e+02  1.958738e-05  1.539261e+01  3.258970e-01  1.043142e+01  9.67e-02  9.69e-05  8.91e-01  0.00000e+00  2.00000e+00
   7300000  3.658596e+02  1.912086e-05  1.587805e+01  3.263326e-01  1.025702e+01  9.75e-02  9.76e-05  8.91e-01  0.00000e+00  2.00000e+00
   7400000  3.677259e+02  1.866341e-05  1.638094e+01  3.267708e-01  1.008480e+01  9.83e-02  9.72e-05  8.91e-01  0.00000e+00  2.00000e+00
   7500000  3.695475e+02  1.821577e-05  1.690205e+01  3.272119e-01  9.914741e+00  9.91e-02  9.75e-05  8.91e-01  0.00000e+00  2.00000e+00
   7600000  3.713252e+02  1.777664e-05  1.744216e+01  3.276557e-01  9.746806e+00  9.99e-02  9.76e-05  8.91e-01  0.00000e+00  2.00000e+00
   7700000  3.730599e+02  1.734717e-05  1.800210e+01  3.281024e-01  9.580962e+00  1.01e-01  9.78e-05  8.91e-01  0.00000e+00  2.00000e+00
   7800000  3.747525e+02  1.692567e-05  1.858272e+01  3.285521e-01  9.417189e+00  1.02e-01  9.81e-05  8.91e-01  0.00000e+00  2.00000e+00
   7900000  3.764038e+02  1.651325e-05  1.918495e+01  3.290047e-01  9.255453e+00  1.03e-01  9.79e-05  8.91e-01  0.00000e+00  2.00000e+00
   8000000  3.780147e+02  1.610891e-05  1.980975e+01  3.294604e-01  9.095729e+00  1.03e-01  9.82e-05  8.91e-01  0.00000e+00  2.00000e+00
   8100000  3.795860e+02  1.571304e-05  2.045812e+01  3.299192e-01  8.937987e+00  1.04e-01  9.77e-05  8.91e-01  0.00000e+00  2.00000e+00
   8200000  3.811185e+02  1.532513e-05  2.113113e+01  3.303812e-01  8.782203e+00  1.05e-01  9.75e-05  8.91e-01  0.00000e+00  2.00000e+00
   8300000  3.826130e+02  1.494532e-05  2.182991e+01  3.308465e-01  8.628348e+00  1.06e-01  9.77e-05  8.91e-01  0.00000e+00  2.00000e+00
   8400000  3.840703e+02  1.457310e-05  2.255564e+01  3.313151e-01  8.476398e+00  1.07e-01  9.71e-05  8.91e-01  0.00000e+00  2.00000e+00
   8500000  3.854912e+02  1.420871e-05  2.330957e+01  3.317872e-01  8.326327e+00  1.08e-01  9.75e-05  8.91e-01  0.00000e+00  2.00000e+00
   8600000  3.868764e+02  1.385162e-05  2.409302e+01  3.322627e-01  8.178110e+00  1.09e-01  9.71e-05  8.91e-01  0.00000e+00  2.00000e+00
