      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
      8155  3.649750e-02  6.994443e-03  9.516421e+01  1.601955e+00  3.070433e-01  1.973689e+01  1.115592e+01  8.574101e-02  1.643155e-02
      8287  3.719540e-02  7.128189e-03  9.420732e+01  1.585848e+00  3.070432e-01  1.973689e+01  1.117995e+01  8.636098e-02  1.655037e-02
      8419  3.789757e-02  7.262754e-03  9.326090e+01  1.569916e+00  3.070432e-01  1.973688e+01  1.120395e+01  8.698438e-02  1.666984e-02
      8551  3.860407e-02  7.398150e-03  9.232481e+01  1.554158e+00  3.070431e-01  1.973688e+01  1.122792e+01  8.761124e-02  1.678997e-02
      8683  3.931496e-02  7.534386e-03  9.139892e+01  1.538572e+00  3.070431e-01  1.973688e+01  1.125185e+01  8.824158e-02  1.691077e-02
      8815  4.003030e-02  7.671475e-03  9.048310e+01  1.523156e+00  3.070430e-01  1.973687e+01  1.127575e+01  8.887542e-02  1.703224e-02
      8947  4.075015e-02  7.809428e-03  8.957723e+01  1.507906e+00  3.070430e-01  1.973687e+01  1.129963e+01  8.951280e-02  1.715439e-02
      9079  4.147457e-02  7.948257e-03  8.868118e+01  1.492823e+00  3.070429e-01  1.973686e+01  1.132347e+01  9.015373e-02  1.727721e-02
      9212  4.220916e-02  8.089036e-03  8.778814e+01  1.477790e+00  3.070429e-01  1.973686e+01  1.134747e+01  9.080314e-02  1.740167e-02
      9345  4.294852e-02  8.230729e-03  8.690481e+01  1.462920e+00  3.070428e-01  1.973686e+01  1.137144e+01  9.145621e-02  1.752683e-02
      9478  4.369272e-02  8.373348e-03  8.603108e+01  1.448212e+00  3.070427e-01  1.973685e+01  1.139538e+01  9.211298e-02  1.765269e-02
      9611  4.444182e-02  8.516907e-03  8.516682e+01  1.433663e+00  3.070427e-01  1.973685e+01  1.141929e+01  9.277347e-02  1.777927e-02
      9744  4.519590e-02  8.661419e-03  8.431191e+01  1.419272e+00  3.070426e-01  1.973685e+01  1.144318e+01  9.343770e-02  1.790656e-02
      9877  4.595502e-02  8.806898e-03  8.346623e+01  1.405036e+00  3.070426e-01  1.973684e+01  1.146705e+01  9.410571e-02  1.803458e-02
     10010  4.671925e-02  8.953356e-03  8.262967e+01  1.390954e+00  3.070425e-01  1.973684e+01  1.149089e+01  9.477752e-02  1.816333e-02
     10143  4.748867e-02  9.100809e-03  8.180212e+01  1.377023e+00  3.070424e-01  1.973683e+01  1.151470e+01  9.545317e-02  1.829281e-02
     10276  4.826335e-02  9.249270e-03  8.098345e+01  1.363242e+00  3.070424e-01  1.973683e+01  1.153850e+01  9.613268e-02  1.842303e-02
     10409  4.904336e-02  9.398754e-03  8.017356e+01  1.349609e+00  3.070423e-01  1.973683e+01  1.156227e+01  9.681609e-02  1.855400e-02
     10543  4.983472e-02  9.550412e-03  7.936636e+01  1.336021e+00  3.070423e-01  1.973682e+01  1.158621e+01  9.750860e-02  1.868672e-02
     10677  5.063166e-02  9.703138e-03  7.856784e+01  1.322579e+00  3.070422e-01  1.973682e+01  1.161012e+01  9.820513e-02  1.882020e-02
     10811  5.143426e-02  9.856949e-03  7.777790e+01  1.309281e+00  3.070421e-01  1.973681e+01  1.163402e+01  9.890571e-02  1.895446e-02
     10945  5.224260e-02  1.001186e-02  7.699644e+01  1.296127e+00  3.070421e-01  1.973681e+01  1.165789e+01  9.961037e-02  1.908950e-02
     11079  5.305677e-02  1.016789e-02  7.622334e+01  1.283113e+00  3.070420e-01  1.973681e+01  1.168175e+01  1.003191e-01  1.922533e-02
