     i         log_r      log_rmid             m           rho            v2        trelax            kn
    83  -1.868866e+00  -1.875283e+00  2.222937e-02  2.042232e+04  9.716232e-01  4.967592e-05  1.766592e-04
    84  -1.855785e+00  -1.862277e+00  2.376030e-02  1.963031e+04  9.606244e-01  5.197518e-05  1.812163e-04
    85  -1.842539e+00  -1.849111e+00  2.538829e-02  1.882190e+04  9.491173e-01  5.453516e-05  1.861856e-04
    86  -1.829110e+00  -1.835773e+00  2.711870e-02  1.799806e+04  9.370777e-01  5.739666e-05  1.916184e-04
    87  -1.815482e+00  -1.822243e+00  2.895704e-02  1.715991e+04  9.244801e-01  6.060889e-05  1.975748e-04
    88  -1.801635e+00  -1.808504e+00  3.090905e-02  1.630876e+04  9.112969e-01  6.423167e-05  2.041255e-04
    89  -1.787546e+00  -1.794534e+00  3.298073e-02  1.544610e+04  8.974989e-01  6.833832e-05  2.113545e-04
    90  -1.773189e+00  -1.780308e+00  3.517823e-02  1.457361e+04  8.830543e-01  7.301957e-05  2.193616e-04
    91  -1.758534e+00  -1.765800e+00  3.750796e-02  1.369320e+04  8.679287e-01  7.838865e-05  2.282671e-04
    92  -1.743547e+00  -1.750976e+00  3.997652e-02  1.280699e+04  8.520846e-01  8.458856e-05  2.382171e-04
    93  -1.728189e+00  -1.735800e+00  4.259071e-02  1.191736e+04  8.354810e-01  9.180189e-05  2.493902e-04
    94  -1.712413e+00  -1.720229e+00  4.535754e-02  1.102695e+04  8.180725e-01  1.002649e-04  2.620078e-04
    95  -1.696164e+00  -1.704212e+00  4.828429e-02  1.013866e+04  7.998082e-01  1.102876e-04  2.763469e-04
    96  -1.679377e+00  -1.687689e+00  5.137828e-02  9.255705e+03  7.806312e-01  1.222834e-04  2.927589e-04
    97  -1.661975e+00  -1.670589e+00  5.464712e-02  8.381613e+03  7.604769e-01  1.368136e-04  3.116958e-04
    98  -1.643860e+00  -1.652823e+00  5.809861e-02  7.520235e+03  7.392706e-01  1.546560e-04  3.337493e-04
    99  -1.624916e+00  -1.634285e+00  6.174066e-02  6.675786e+03  7.169256e-01  1.769133e-04  3.597075e-04
   100  -1.604993e+00  -1.614840e+00  6.558137e-02  5.852863e+03  6.933391e-01  2.051912e-04  3.906436e-04
   101  -1.583902e+00  -1.594320e+00  6.962896e-02  5.056471e+03  6.683877e-01  2.419013e-04  4.280552e-04
   102  -1.561395e+00  -1.572503e+00  7.389183e-02  4.292051e+03  6.419197e-01  2.908002e-04  4.740945e-04
   103  -1.537136e+00  -1.549096e+00  7.837842e-02  3.565525e+03  6.137448e-01  3.579996e-04  5.319638e-04
   104  -1.510662e+00  -1.523697e+00  8.309731e-02  2.883335e+03  5.836174e-01  4.539843e-04  6.066331e-04
   105  -1.481300e+00  -1.495733e+00  8.805718e-02  2.252495e+03  5.512093e-01  5.979679e-04  7.062323e-04
   106  -1.448024e+00  -1.464343e+00  9.326673e-02  1.680671e+03  5.160624e-01  8.282590e-04  8.449777e-04
   107  -1.409157e+00  -1.428156e+00  9.873473e-02  1.176272e+03  4.775006e-01  1.230284e-03  1.050018e-03
   108  -1.361687e+00  -1.384774e+00  1.044700e-01  7.485797e+02  4.344403e-01  2.026735e-03  1.379919e-03
   109  -1.299391e+00  -1.329423e+00  1.104813e-01  4.079097e+02  3.849191e-01  3.951401e-03  1.985962e-03
   110  -1.206358e+00  -1.250388e+00  1.167774e-01  1.657261e+02  3.245769e-01  1.059133e-02  3.392997e-03
   111  -1.027294e+00  -1.107662e+00  1.233670e-01  3.363374e+01  2.402282e-01  6.066146e-02  8.754637e-03
   112  -6.084113e-01  -7.691946e-01  1.302589e-01  1.463639e+00  1.179122e-01  1.989696e+00  5.990202e-02
   113  7.901178e-02  -1.408910e-01  1.374615e-01  1.262863e-02  4.384605e-02  3.781624e+02  1.057534e+00
