      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
   5800000  3.552520e+03  3.195332e-03  1.270579e+01  3.980537e-01  2.841193e-02  1.44e+01  1.98e-01  9.50e-01  0.00000e+00  1.00000e+00
   5900000  3.872128e+03  3.196081e-03  1.565281e+01  4.098710e-01  2.485993e-02  1.82e+01  2.20e-01  9.50e-01  0.00000e+00  1.00000e+00
   6000000  4.164841e+03  2.927130e-03  1.903978e+01  4.211763e-01  2.193554e-02  2.10e+01  2.06e-01  9.50e-01  0.00000e+00  1.00000e+00
   6100000  4.433338e+03  2.684968e-03  2.286063e+01  4.319628e-01  1.951879e-02  2.39e+01  1.92e-01  9.50e-01  0.00000e+00  1.00000e+00
   6200000  4.680916e+03  2.475777e-03  2.711778e+01  4.422635e-01  1.750391e-02  2.70e+01  1.80e-01  9.50e-01  0.00000e+00  1.00000e+00
   6300000  4.910284e+03  2.293683e-03  3.181110e+01  4.521070e-01  1.580930e-02  3.02e+01  1.69e-01  9.50e-01  0.00000e+00  1.00000e+00
   6400000  5.123792e+03  2.135082e-03  3.694094e+01  4.615245e-01  1.437125e-02  3.35e+01  1.60e-01  9.50e-01  0.00000e+00  1.00000e+00
   6500000  5.323259e+03  1.994668e-03  4.250266e+01  4.705387e-01  1.314135e-02  3.69e+01  1.52e-01  9.50e-01  0.00000e+00  1.00000e+00
   6600000  5.510322e+03  1.870625e-03  4.849317e+01  4.791764e-01  1.208113e-02  4.04e+01  1.44e-01  9.50e-01  0.00000e+00  1.00000e+00
   6700000  5.686336e+03  1.760140e-03  5.490765e+01  4.874612e-01  1.116058e-02  4.40e+01  1.38e-01  9.50e-01  0.00000e+00  1.00000e+00
   6800000  5.852437e+03  1.661016e-03  6.173974e+01  4.954143e-01  1.035601e-02  4.76e+01  1.32e-01  9.50e-01  0.00000e+00  1.00000e+00
   6900000  6.009602e+03  1.571648e-03  6.898228e+01  5.030557e-01  9.648470e-03  5.13e+01  1.27e-01  9.50e-01  0.00000e+00  1.00000e+00
   7000000  6.158683e+03  1.490813e-03  7.662811e+01  5.104044e-01  9.022664e-03  5.50e+01  1.22e-01  9.50e-01  0.00000e+00  1.00000e+00
   7100000  6.300433e+03  1.417495e-03  8.467033e+01  5.174789e-01  8.466132e-03  5.87e+01  1.17e-01  9.50e-01  0.00000e+00  1.00000e+00
   7200000  6.435507e+03  1.350742e-03  9.310200e+01  5.242961e-01  7.968693e-03  6.25e+01  1.13e-01  9.50e-01  0.00000e+00  1.00000e+00
   7300000  6.564460e+03  1.289525e-03  1.019146e+02  5.308707e-01  7.522052e-03  6.63e+01  1.10e-01  9.50e-01  0.00000e+00  1.00000e+00
   7400000  6.687719e+03  1.232597e-03  1.110946e+02  5.372133e-01  7.119509e-03  7.01e+01  1.06e-01  9.50e-01  0.00000e+00  1.00000e+00
   7500000  6.805807e+03  1.180876e-03  1.206393e+02  5.433409e-01  6.755017e-03  7.39e+01  1.03e-01  9.50e-01  0.00000e+00  1.00000e+00
   7600000  6.919189e+03  1.133820e-03  1.305474e+02  5.492694e-01  6.423528e-03  7.78e+01  1.00e-01  9.50e-01  0.00000e+00  1.00000e+00
   7700000  7.028026e+03  1.088369e-03  1.407940e+02  5.550003e-01  6.121501e-03  8.15e+01  9.73e-02  9.50e-01  0.00000e+00  1.00000e+00
   7800000  7.132802e+03  1.047760e-03  1.513866e+02  5.605528e-01  5.844980e-03  8.54e+01  9.47e-02  9.50e-01  0.00000e+00  1.00000e+00
   7900000  7.233791e+03  1.009896e-03  1.623175e+02  5.659363e-01  5.591045e-03  8.92e+01  9.25e-02  9.50e-01  0.00000e+00  1.00000e+00
   8000000  7.331073e+03  9.728180e-04  1.735592e+02  5.711502e-01  5.357585e-03  9.29e+01  9.01e-02  9.50e-01  0.00000e+00  1.00000e+00
   8100000  7.425194e+03  9.412053e-04  1.851411e+02  5.762199e-01  5.141663e-03  9.69e+01  8.82e-02  9.50e-01  0.00000e+00  1.00000e+00
   8200000  7.515982e+03  9.078864e-04  1.970089e+02  5.811326e-01  4.942255e-03  1.00e+02  8.60e-02  9.50e-01  0.00000e+00  1.00000e+00
   8300000  7.604061e+03  8.807875e-04  2.092120e+02  5.859190e-01  4.756773e-03  1.04e+02  8.46e-02  9.50e-01  0.00000e+00  1.00000e+00
   8400000  7.689158e+03  8.509715e-04  2.216819e+02  5.905614e-01  4.584722e-03  1.08e+02  8.22e-02  9.50e-01  0.00000e+00  1.00000e+00
   8500000  7.771872e+03  8.271330e-04  2.344761e+02  5.950903e-01  4.423959e-03  1.12e+02  8.10e-02  9.50e-01  0.00000e+00  1.00000e+00
   8600000  7.851978e+03  8.010595e-04  2.475314e+02  5.994912e-01  4.274106e-03  1.15e+02  7.93e-02  9.50e-01  0.00000e+00  1.00000e+00
   8700000  7.929811e+03  7.783380e-04  2.608729e+02  6.037806e-01  4.133802e-03  1.19e+02  7.78e-02  9.50e-01  0.00000e+00  1.00000e+00
   8800000  8.005591e+03  7.578015e-04  2.745130e+02  6.079689e-01  4.002031e-03  1.23e+02  7.64e-02  9.50e-01  0.00000e+00  1.00000e+00
   8900000  8.079057e+03  7.346574e-04  2.883768e+02  6.120403e-01  3.878672e-03  1.26e+02  7.47e-02  9.50e-01  0.00000e+00  1.00000e+00
   9000000  8.150889e+03  7.183145e-04  3.025683e+02  6.160310e-01  3.762088e-03  1.30e+02  7.42e-02  9.50e-01  0.00000e+00  1.00000e+00
   9100000  8.220607e+03  6.971875e-04  3.169690e+02  6.199134e-01  3.652614e-03  1.34e+02  7.23e-02  9.50e-01  0.00000e+00  1.00000e+00
   9200000  8.288546e+03  6.793853e-04  3.316202e+02  6.237049e-01  3.549307e-03  1.37e+02  7.09e-02  9.50e-01  0.00000e+00  1.00000e+00
   9300000  8.355118e+03  6.657243e-04  3.465921e+02  6.274277e-01  3.451201e-03  1.41e+02  7.06e-02  9.50e-01  0.00000e+00  1.00000e+00
   9400000  8.419741e+03  6.462220e-04  3.617303e+02  6.310482e-01  3.358832e-03  1.44e+02  6.89e-02  9.50e-01  0.00000e+00  1.00000e+00
   9500000  8.482902e+03  6.316128e-04  3.771237e+02  6.345930e-01  3.271192e-03  1.48e+02  6.79e-02  9.50e-01  0.00000e+00  1.00000e+00
   9600000  8.544930e+03  6.202807e-04  3.928365e+02  6.380800e-01  3.187589e-03  1.52e+02  6.73e-02  9.50e-01  0.00000e+00  1.00000e+00
   9700000  8.605197e+03  6.026722e-04  4.086884e+02  6.414731e-01  3.108627e-03  1.55e+02  6.57e-02  9.50e-01  0.00000e+00  1.00000e+00
   9800000  8.664140e+03  5.894305e-04  4.247692e+02  6.447963e-01  3.033501e-03  1.58e+02  6.49e-02  9.50e-01  0.00000e+00  1.00000e+00
   9900000  8.722213e+03  5.807252e-04  4.411893e+02  6.480748e-01  2.961458e-03  1.63e+02  6.49e-02  9.50e-01  0.00000e+00  1.00000e+00
  10000000  8.778772e+03  5.655945e-04  4.577498e+02  6.512719e-01  2.893123e-03  1.65e+02  6.32e-02  9.50e-01  0.00000e+00  1.00000e+00
  10100000  8.833998e+03  5.522567e-04  4.744781e+02  6.543971e-01  2.828094e-03  1.68e+02  6.18e-02  9.50e-01  0.00000e+00  1.00000e+00
