      step          time         t_Gyr         rho_c  rhoc_Msunpc3         v_max     v_max_kms        Kn_min       mintrel   mintrel_Gyr
    723282  2.719600e+01  9.309875e-03  9.006948e+01  4.340932e+00  3.073096e-01  1.545033e+02  3.687398e-02  9.638023e-02  3.299338e-05
    736686  2.772118e+01  9.489658e-03  8.916878e+01  4.297523e+00  3.073153e-01  1.545062e+02  3.694812e-02  9.706052e-02  3.322626e-05
    750099  2.824774e+01  9.669914e-03  8.827704e+01  4.254545e+00  3.073211e-01  1.545091e+02  3.702226e-02  9.774527e-02  3.346067e-05
    763520  2.877567e+01  9.850637e-03  8.739422e+01  4.211997e+00  3.073268e-01  1.545120e+02  3.709640e-02  9.843446e-02  3.369660e-05
    776949  2.930499e+01  1.003183e-02  8.652024e+01  4.169875e+00  3.073326e-01  1.545149e+02  3.717055e-02  9.912812e-02  3.393405e-05
    790386  2.983571e+01  1.021351e-02  8.565501e+01  4.128175e+00  3.073383e-01  1.545178e+02  3.724471e-02  9.982629e-02  3.417305e-05
    803831  3.036786e+01  1.039568e-02  8.479842e+01  4.086892e+00  3.073441e-01  1.545207e+02  3.731887e-02  1.005290e-01  3.441361e-05
    817284  3.090146e+01  1.057835e-02  8.395040e+01  4.046021e+00  3.073499e-01  1.545236e+02  3.739304e-02  1.012363e-01  3.465573e-05
    830745  3.143654e+01  1.076152e-02  8.311084e+01  4.005558e+00  3.073557e-01  1.545265e+02  3.746722e-02  1.019482e-01  3.489943e-05
    844213  3.197307e+01  1.094519e-02  8.227972e+01  3.965502e+00  3.073615e-01  1.545294e+02  3.754141e-02  1.026646e-01  3.514470e-05
    857689  3.251112e+01  1.112938e-02  8.145689e+01  3.925845e+00  3.073673e-01  1.545323e+02  3.761561e-02  1.033858e-01  3.539157e-05
    871173  3.305072e+01  1.131409e-02  8.064227e+01  3.886584e+00  3.073731e-01  1.545353e+02  3.768982e-02  1.041117e-01  3.564005e-05
    884664  3.359184e+01  1.149933e-02  7.983582e+01  3.847717e+00  3.073790e-01  1.545382e+02  3.776404e-02  1.048422e-01  3.589014e-05
    898162  3.413452e+01  1.168511e-02  7.903746e+01  3.809240e+00  3.073849e-01  1.545412e+02  3.783827e-02  1.055775e-01  3.614185e-05
    911668  3.467881e+01  1.187143e-02  7.824705e+01  3.771146e+00  3.073907e-01  1.545441e+02  3.791252e-02  1.063177e-01  3.639522e-05
    925181  3.522470e+01  1.205830e-02  7.746455e+01  3.733433e+00  3.073966e-01  1.545471e+02  3.798678e-02  1.070626e-01  3.665022e-05
    938701  3.577222e+01  1.224573e-02  7.668989e+01  3.696098e+00  3.074025e-01  1.545500e+02  3.806106e-02  1.078124e-01  3.690689e-05
    952228  3.632139e+01  1.243373e-02  7.592298e+01  3.659136e+00  3.074084e-01  1.545530e+02  3.813536e-02  1.085670e-01  3.716523e-05
    965762  3.687224e+01  1.262230e-02  7.516374e+01  3.622544e+00  3.074143e-01  1.545560e+02  3.820967e-02  1.093266e-01  3.742525e-05
    979303  3.742479e+01  1.281145e-02  7.441209e+01  3.586318e+00  3.074203e-01  1.545590e+02  3.828400e-02  1.100911e-01  3.768697e-05
    992851  3.797908e+01  1.300120e-02  7.366794e+01  3.550454e+00  3.074262e-01  1.545620e+02  3.835836e-02  1.108607e-01  3.795040e-05
   1006406  3.853512e+01  1.319154e-02  7.293122e+01  3.514947e+00  3.074322e-01  1.545650e+02  3.843273e-02  1.116352e-01  3.821555e-05
   1019967  3.909291e+01  1.338249e-02  7.220191e+01  3.479798e+00  3.074382e-01  1.545680e+02  3.850713e-02  1.124148e-01  3.848242e-05
   1033535  3.965251e+01  1.357405e-02  7.147986e+01  3.444998e+00  3.074442e-01  1.545710e+02  3.858155e-02  1.131995e-01  3.875104e-05
   1047109  4.021392e+01  1.376624e-02  7.076506e+01  3.410548e+00  3.074502e-01  1.545740e+02  3.865599e-02  1.139893e-01  3.902141e-05
   1060690  4.077720e+01  1.395906e-02  7.005738e+01  3.376441e+00  3.074562e-01  1.545770e+02  3.873047e-02  1.147843e-01  3.929356e-05
   1074277  4.134234e+01  1.415252e-02  6.935678e+01  3.342676e+00  3.074623e-01  1.545801e+02  3.880497e-02  1.155845e-01  3.956748e-05
   1087870  4.190937e+01  1.434663e-02  6.866321e+01  3.309249e+00  3.074683e-01  1.545831e+02  3.887949e-02  1.163899e-01  3.984319e-05
   1101469  4.247831e+01  1.454140e-02  6.797657e+01  3.276156e+00  3.074744e-01  1.545862e+02  3.895405e-02  1.172006e-01  4.012071e-05
   1115074  4.304921e+01  1.473683e-02  6.729681e+01  3.243395e+00  3.074805e-01  1.545892e+02  3.902864e-02  1.180165e-01  4.040004e-05
   1128685  4.362209e+01  1.493294e-02  6.662383e+01  3.210960e+00  3.074866e-01  1.545923e+02  3.910326e-02  1.188379e-01  4.068120e-05
   1142302  4.419699e+01  1.512974e-02  6.595758e+01  3.178850e+00  3.074927e-01  1.545954e+02  3.917791e-02  1.196646e-01  4.096420e-05
   1155925  4.477393e+01  1.532724e-02  6.529798e+01  3.147061e+00  3.074989e-01  1.545985e+02  3.925260e-02  1.204967e-01  4.124907e-05
   1169554  4.535295e+01  1.552546e-02  6.464496e+01  3.115588e+00  3.075050e-01  1.546016e+02  3.932733e-02  1.213344e-01  4.153582e-05
   1183188  4.593403e+01  1.572438e-02  6.399850e+01  3.084431e+00  3.075112e-01  1.546047e+02  3.940210e-02  1.221775e-01  4.182443e-05
   1196828  4.651726e+01  1.592403e-02  6.335847e+01  3.053585e+00  3.075174e-01  1.546078e+02  3.947691e-02  1.230262e-01  4.211496e-05
   1210473  4.710263e+01  1.612442e-02  6.272487e+01  3.023048e+00  3.075236e-01  1.546109e+02  3.955176e-02  1.238804e-01  4.240739e-05
