      step          time          <dt>         rho_c         v_max        Kn_min  <dt lim>  <dr lim>  <du lim>  <n_iter_cr>  <n_iter_dr>
   9500000  4.502637e+02  4.157440e-06  2.528279e+02  3.693361e-01  2.271151e+00  3.69e-01  2.80e-04  8.89e-01  0.00000e+00  2.00000e+00
   9600000  4.506565e+02  3.927639e-06  2.792503e+02  3.709659e-01  2.151540e+00  3.86e-01  2.79e-04  8.89e-01  0.00000e+00  2.00000e+00
   9700000  4.510273e+02  3.708205e-06  3.098465e+02  3.726809e-01  2.033151e+00  4.05e-01  2.80e-04  8.88e-01  0.00000e+00  2.00000e+00
   9800000  4.513772e+02  3.498986e-06  3.456066e+02  3.744944e-01  1.915772e+00  4.28e-01  2.80e-04  8.88e-01  0.00000e+00  2.00000e+00
   9900000  4.517072e+02  3.299819e-06  3.878587e+02  3.764231e-01  1.799149e+00  4.53e-01  2.79e-04  8.88e-01  0.00000e+00  2.00000e+00
  10000000  4.520183e+02  3.110810e-06  4.384328e+02  3.784885e-01  1.682968e+00  4.84e-01  2.79e-04  8.88e-01  0.00000e+00  2.00000e+00
  10100000  4.523115e+02  2.931850e-06  4.999188e+02  3.807193e-01  1.566843e+00  5.21e-01  2.79e-04  8.88e-01  0.00000e+00  2.00000e+00
  10200000  4.525878e+02  2.763156e-06  5.761188e+02  3.831544e-01  1.450275e+00  5.66e-01  2.79e-04  8.88e-01  0.00000e+00  2.00000e+00
  10300000  4.528483e+02  2.605225e-06  6.728642e+02  3.858489e-01  1.332598e+00  6.23e-01  2.79e-04  8.88e-01  0.00000e+00  2.00000e+00
  10400000  4.530942e+02  2.458594e-06  7.995880e+02  3.888841e-01  1.212905e+00  6.98e-01  2.78e-04  8.87e-01  0.00000e+00  2.00000e+00
  10500000  4.533269e+02  2.327169e-06  9.729121e+02  3.923913e-01  1.089743e+00  8.01e-01  2.78e-04  8.84e-01  0.00000e+00  2.00000e+00
  10600000  4.535462e+02  2.193363e-06  1.222086e+03  3.965520e-01  9.621196e-01  9.41e-01  2.78e-04  7.50e-01  0.00000e+00  2.00000e+00
  10685785  4.537055e+02  1.856713e-06  1.500002e+03  4.003793e-01  8.601271e-01  1.00e+00  2.74e-04  1.37e-02  0.00000e+00  2.00000e+00
